Champagne_name,Champagne_price,Champagne_vol,Champagne_image,Champagne_product_link
Armand de Brignac Brut Gold ,"₦255,200.00",75cl (Ace of Spade),https://www.cellarcentral.ng/image/cache/catalog/Champagne/Armand%20de%20Brignac/armand-de-brignac-brut-gold-velveg-75cl-450x450.jpg,https://www.cellarcentral.ng/champagne-and-sparkling/armand-de-brignac-brut-gold
Armand de Brignac Rosé ,"₦359,600.00",75cl (Ace of Spade),https://www.cellarcentral.ng/image/cache/catalog/Champagne/Armand%20de%20Brignac/armand%20de%20brignac%20rose-450x450.jpg,https://www.cellarcentral.ng/champagne-and-sparkling?product_id=688
Billecart Salmon Brut Rose ,"₦58,500.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Champagne/Sparkling/Billecart-Salmon-Brut-Rose_-450x450.jpg,https://www.cellarcentral.ng/champagne-and-sparkling?product_id=617
Billecart Salmon Demi-sec ,"₦41,400.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Champagne/Billecart/billecart-demisec-450x450.png,https://www.cellarcentral.ng/champagne-and-sparkling?product_id=616
Bollinger Rosé ,"₦45,000.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Champagne/Bollinger/Bollinger_Rose1-450x450.jpg,https://www.cellarcentral.ng/champagne-and-sparkling?product_id=837
Bollinger Special Cuvée Brut ,"₦30,500.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Champagne/Bollinger/bollinger-champagne-special-cuvee-raw-white-wine-75-cl-with-its-case-450x450.jpg,https://www.cellarcentral.ng/champagne-and-sparkling?product_id=838
Conti Buneis Moscato D'Asti ,"₦4,900.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Sparkling%20Wines/conti%20buneis%20moscato%20dasti-450x450.jpg,https://www.cellarcentral.ng/champagne-and-sparkling?product_id=785
Haute Couture French Bubbles Blanc ,"₦9,900.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Champagne/Sparkling/haute_couture_blanc_nv_750-450x450.png,https://www.cellarcentral.ng/champagne-and-sparkling?product_id=492
Krone Borealis Vintage Cuvee Brut ,"₦6,000.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Champagne/Sparkling/Krone%20Borealis-450x450.jpg,https://www.cellarcentral.ng/champagne-and-sparkling?product_id=581
Laurent Perrier Cuvee Rose ,"₦52,000.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Champagne/LAURENT%20PERRIER/Bouteille%20Cuvée%20Rosé%20%20-%20Copie-450x450.png,https://www.cellarcentral.ng/champagne-and-sparkling?product_id=915
Laurent Perrier Cuvee Rose Butterfly Cage ,"₦60,200.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Champagne/LAURENT%20PERRIER/Updated/Laurent_Perrier_Cuvee_Rose_Butterfly__20605-450x450.jpg,https://www.cellarcentral.ng/champagne-and-sparkling?product_id=913
Laurent Perrier Harmony Demi-Sec ,"₦37,000.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Champagne/LAURENT%20PERRIER/Updated/Packshot-Btl-Harmony-CMJN-450x450.jpg,https://www.cellarcentral.ng/champagne-and-sparkling/laurent-perrier-demi-sec
