gift_ideas_name,gift_ideas_price,gift_ideas_vol,gift_ideas_image,gift_ideas_product_link
Angostura 1824 12yrs Old ,"₦29,600.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Liqueurs/rum_ang2-450x450.jpg,https://www.cellarcentral.ng/special-offers?product_id=625
Armand de Brignac Rosé ,"₦359,600.00",75cl (Ace of Spade),https://www.cellarcentral.ng/image/cache/catalog/Champagne/Armand%20de%20Brignac/armand%20de%20brignac%20rose-450x450.jpg,https://www.cellarcentral.ng/special-offers?product_id=688
BARON OTARD® VSOP Cognac ,"₦30,700.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Cognac/Baron%20Otard/BARON-OTARD-VSOP-70CL-3_2048x2048-450x450.png,https://www.cellarcentral.ng/special-offers/baron-otard*70cl
Bollinger Rosé ,"₦45,000.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Champagne/Bollinger/Bollinger_Rose1-450x450.jpg,https://www.cellarcentral.ng/special-offers?product_id=837
Bollinger Special Cuvée Brut ,"₦30,500.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Champagne/Bollinger/bollinger-champagne-special-cuvee-raw-white-wine-75-cl-with-its-case-450x450.jpg,https://www.cellarcentral.ng/special-offers?product_id=838
CC Gold Hamper,"₦300,000.00",,https://www.cellarcentral.ng/image/cache/catalog/Hampers/Regular%20Hampers/BOX-2-450x450.jpg,https://www.cellarcentral.ng/special-offers?product_id=929
CC Platinum Hamper,"₦400,000.00",,https://www.cellarcentral.ng/image/cache/catalog/Hampers/Regular%20Hampers/BOX-1-450x450.jpg,https://www.cellarcentral.ng/special-offers?product_id=928
CC Silver Festive Hamper,"₦150,000.00",,https://www.cellarcentral.ng/image/cache/catalog/Hampers/Regular%20Hampers/BOX-3-450x450.jpg,https://www.cellarcentral.ng/special-offers?product_id=930
Delamain Pale & Dry X.O ,"₦49,100.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Cognac/DELAMAINE/delamain-xo-pale-and-dry-70cl-450x450.jpg,https://www.cellarcentral.ng/special-offers/delamain-pale-and-dry-xo
Delamain TRIO Cognac Giftbox (3 x 200ml),"₦45,500.00",,https://www.cellarcentral.ng/image/cache/catalog/Cognac/DELAMAINE/delamain-trio-tasting-gift-set-cognac-450x450.jpg,https://www.cellarcentral.ng/special-offers?product_id=796
Fortnum's Time for Tea 3-Minute Tea Timer,"₦15,000.00",,https://www.cellarcentral.ng/image/cache/catalog/GIFTS%20BY%20CC/Fortnums%20Time%20for%20Tea%203Minute%20Tea%20Timer-450x450.jpg,https://www.cellarcentral.ng/special-offers?product_id=859
Gerard Bertrand Cigalus Red ,"₦40,700.00",75cl (2 Bottles),https://www.cellarcentral.ng/image/cache/catalog/wines/GERARD%20BERTRAND/Cigalus-Red-450x450.jpg,https://www.cellarcentral.ng/special-offers?product_id=882
Gin Etsu Japanese Gin 70,"₦15,400.00",cl,https://www.cellarcentral.ng/image/cache/catalog/Gin/GIN%20ETSU/GIN-ETSU-ET-BOUTEILLE-PF-450x450.jpg,https://www.cellarcentral.ng/special-offers?product_id=909
Glenfiddich 12 Year Old ,"₦23,400.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/GLENFIDDICH/glenfiddich-12-years-450x450.jpg,https://www.cellarcentral.ng/special-offers/glenfiddich-12year-old
