spirit_name,spirit_price,spirit_vol,spirit_image,spirit_product_link
Absolut Vanilia ,"₦6,000.00",1L,https://www.cellarcentral.ng/image/cache/catalog/Vodka/absolut%20vanilla%20bottle-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=706
Amaro Di Angostura ,"₦7,700.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Liqueurs/amaro-450x450.png,https://www.cellarcentral.ng/spirits?product_id=630
American Honey ,"₦9,600.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Liqueurs/Wild-Turkey-American-Honey-280042-L_large-450x450.png,https://www.cellarcentral.ng/spirits/american-honey-75cl
Angostura 1787 ,"₦33,600.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Angostura/Angostura%201787-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=624
Angostura 1824 12yrs Old ,"₦29,600.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Liqueurs/rum_ang2-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=625
Angostura 1919 ,"₦19,200.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Angostura/Angostura%202015%20Premium%201919%20Bottle%20Render-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=626
Angostura Aromatic Bitters ,"₦7,000.00",20cl,https://www.cellarcentral.ng/image/cache/catalog/Angostura/Angostura-Aromatic-Bitters-450x450.png,https://www.cellarcentral.ng/spirits?product_id=570
Angostura No.1 ,"₦63,000.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Liqueurs/Angostura%20No%201-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=697
Angostura Orange Bitters ,"₦5,000.00",10CL,https://www.cellarcentral.ng/image/cache/catalog/Angostura/Orange-Bitters-Bottle-450x450.png,https://www.cellarcentral.ng/spirits?product_id=623
Angostura Reserva 3yrs White Rum ,"₦4,800.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Liqueurs/angostura-reserva-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=629
Aperol ,"₦6,600.00",1L,https://www.cellarcentral.ng/image/cache/catalog/Liqueurs/1026125x-450x450.jpg,https://www.cellarcentral.ng/spirits/aperol-1l
Bacardi 10 Year Old Rum ,"₦17,800.00",70Cl,https://www.cellarcentral.ng/image/cache/catalog/RUMS/bacardi%20gran%20reserva%20diez%2010%20year%20rum%2070cl-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=895
Bacardi 4 Year Old Rum ,"₦8,200.00",70Cl,https://www.cellarcentral.ng/image/cache/catalog/RUMS/Bacardi%204%20years-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=896
Bacardi 8 Years ,"₦10,400.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/BACARDI%20MARTINI/BACARDI/8%20YEARS/martini-fiero-450x450.png,https://www.cellarcentral.ng/spirits?product_id=790
BACARDI Carta Blanca White Rum ,"₦5,300.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/BACARDI%20MARTINI/BACARDI/CARTA%20BLANCA%20WHITE%20RUM/Large_3000_PNG-FY21_BACARDI_Carta_Blanca_IPX_750ml_40--450x450.png,https://www.cellarcentral.ng/spirits/bacardi-carta-blanca-75cl
BACARDÍ® Carta Oro Golden Rum ,"₦5,100.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/BACARDI%20MARTINI/BACARDI/CARTA%20ORO%20GOLDEN%20RUM/bacardi-oro-gold-450x450.png,https://www.cellarcentral.ng/spirits/bacardi-gold-75cl
