wine_name,wine_price,wine_vol,wine_product_link
B&G Cuvee Reserve Speciale Rose ,"₦3,900.00",75cl,https://www.cellarcentral.ng/wines?product_id=704
B&G Reserve Chardonnay ,"₦5,200.00",75CL,https://www.cellarcentral.ng/wines/b-and-g-reserve-chardonnay
Boekenhoutskloof Semillon White ,"₦13,000.00",75cl,https://www.cellarcentral.ng/wines?product_id=563
Cheval Des Andes ,"₦56,100.00",75cl,https://www.cellarcentral.ng/wines?product_id=495
Clarendelle Bordeaux Rose ,"₦8,200.00",75cl,https://www.cellarcentral.ng/wines/clarendelle-rose
Clarendelle Amber Wine ,"₦15,600.00",50cl,https://www.cellarcentral.ng/wines?product_id=607
Clarendelle Bordeaux Blanc (White) ,"₦4,100.00",37.5CL,https://www.cellarcentral.ng/wines?product_id=703
Clarendelle Bordeaux Blanc (White) ,"₦8,800.00",75CL,https://www.cellarcentral.ng/wines?product_id=557
Clarendelle Bordeaux Rouge (Red) ,"₦8,700.00",75CL,https://www.cellarcentral.ng/wines?product_id=556
Clarendelle Medoc ,"₦9,240.00",75CL,https://www.cellarcentral.ng/wines?product_id=923
Clarendelle Saint Emilion ,"₦10,300.00",75CL,https://www.cellarcentral.ng/wines?product_id=558
Cloudy Bay Sauvignon Blanc ,"₦20,100.00",75cl,https://www.cellarcentral.ng/wines?product_id=518
Conti Buneis Moscato D'Asti ,"₦4,900.00",75cl,https://www.cellarcentral.ng/wines?product_id=785
Copenhagen Sparkling Tea Lysrod ,"₦15,000.00",75cl,https://www.cellarcentral.ng/wines?product_id=926
Fortant Cabernet Sauvignon ,"₦3,000.00",75CL,https://www.cellarcentral.ng/wines?product_id=591
Fortant Sauvignon Blanc ,"₦3,000.00",75CL,https://www.cellarcentral.ng/wines?product_id=592
Gerard Bertrand 6 Sens Blanc ,"₦4,900.00",75cl,https://www.cellarcentral.ng/wines?product_id=600
Gerard Bertrand 6 Sens Rouge ,"₦3,800.00",75cl,https://www.cellarcentral.ng/wines?product_id=599
Gerard Bertrand Art De Vivre Clairette ,"₦8,500.00",75cl,https://www.cellarcentral.ng/wines?product_id=608
Gerard Bertrand Art de Vivre Rose ,"₦7,400.00",75CL,https://www.cellarcentral.ng/wines?product_id=783
Gerard Bertrand Art de Vivre Rouge ,"₦8,200.00",75CL,https://www.cellarcentral.ng/wines?product_id=609
Gerard Bertrand Cigalus Red ,"₦40,700.00",75cl (2 Bottles),https://www.cellarcentral.ng/wines?product_id=882
Gerard Bertrand Cote des Roses Chardonnay ,"₦6,200.00",75cl,https://www.cellarcentral.ng/wines?product_id=545
Gerard Bertrand Cote des Roses Rose ,"₦6,200.00",75cl,https://www.cellarcentral.ng/wines?product_id=526
Gerard Bertrand Cote des Roses Sauvignon Blanc ,"₦6,200.00",75cl,https://www.cellarcentral.ng/wines?product_id=611
Haute Couture French Bubbles Blanc ,"₦9,900.00",75CL,https://www.cellarcentral.ng/wines?product_id=492
Haute Couture French Bubbles Rose ,"₦9,900.00",75CL,https://www.cellarcentral.ng/wines?product_id=491
Krone Borealis Vintage Cuvee Brut ,"₦6,000.00",75cl,https://www.cellarcentral.ng/wines?product_id=581
Krone Sparkling Night Nectar Rose ,"₦6,400.00",75cl,https://www.cellarcentral.ng/wines?product_id=512
Maison Castel Cabernet Sauvignon 2020 ,"₦2,800.00",75cl,https://www.cellarcentral.ng/wines?product_id=814
Maison Castel Sauvignon Blanc 2020 ,"₦4,800.00",75cl,https://www.cellarcentral.ng/wines?product_id=886
MARTINI Asti Sparkling Wine ,"₦5,400.00",75cl,https://www.cellarcentral.ng/wines/martini-asti
Martini Prosecco ,"₦5,600.00",75CL,https://www.cellarcentral.ng/wines/martini-prosecco
Martini Rose ,"₦5,400.00",75CL,https://www.cellarcentral.ng/wines/martini-rose
MARTINI ® Brut ,"₦5,800.00",75CL,https://www.cellarcentral.ng/wines/martini-brut
Pascal Jolivet Sancerre 2020 ,"₦16,000.00",75CL,https://www.cellarcentral.ng/wines?product_id=924
Penfolds St Henri Shiraz ,"₦35,800.00",75CL,https://www.cellarcentral.ng/wines?product_id=441
Robertson Winery Chapel Red ,"₦4,000.00",75CL,https://www.cellarcentral.ng/wines?product_id=399
Robertson Winery Chapel Sweet Red ,"₦4,000.00",75CL,https://www.cellarcentral.ng/wines?product_id=505
Robertson Winery Chapel White ,"₦4,000.00",75CL,https://www.cellarcentral.ng/wines?product_id=493
Robertson Winery Natural Sweet Red ,"₦4,300.00",75cl,https://www.cellarcentral.ng/wines?product_id=748
Robertson Winery Natural Sweet Rose ,"₦4,300.00",75cl,https://www.cellarcentral.ng/wines?product_id=749
Robertson Winery Natural Sweet White ,"₦4,300.00",75cl,https://www.cellarcentral.ng/wines?product_id=750
Roche Mazet Chardonnay ,"₦4,400.00",75cl,https://www.cellarcentral.ng/wines?product_id=916
Roche Mazet Sauvignon ,"₦2,400.00",75cl,https://www.cellarcentral.ng/wines?product_id=836
Sandeman White Porto ,"₦6,000.00",75CL,https://www.cellarcentral.ng/wines/sandeman-white-port
Santa Cristina Umbria ,"₦7,800.00",75cl,https://www.cellarcentral.ng/wines?product_id=727
Scavi and Ray,"₦6,500.00",,https://www.cellarcentral.ng/wines?product_id=701
Sweet Lips Natural Sweet Rose ,"₦3,500.00",75CL,https://www.cellarcentral.ng/wines?product_id=804
Sweet Lips Natural Sweet White ,"₦3,500.00",75CL,https://www.cellarcentral.ng/wines?product_id=805
Terrazas Chardonnay ,"₦8,500.00",75CL,https://www.cellarcentral.ng/wines?product_id=445
Terrazas Reserva Malbec ,"₦9,600.00",75CL,https://www.cellarcentral.ng/wines?product_id=414
Terrazas Reserva Torrontes ,"₦8,500.00",75CL,https://www.cellarcentral.ng/wines?product_id=415
The Chocolate Block ,"₦14,000.00",75CL,https://www.cellarcentral.ng/wines/the-chocolate-block-75cl
Thomas Barton Reserve Graves Blanc ,"₦4,600.00",75CL,https://www.cellarcentral.ng/wines/thomas-barton-reserve-grave-blanc
Tignanello Toscana ,"₦90,200.00",75cl,https://www.cellarcentral.ng/wines?product_id=800
Whispering Angel Rose Wine ,"₦12,700.00",75cl,https://www.cellarcentral.ng/wines?product_id=546
