product_name,product_price,product_capacity,product_image,product_link,category
B&G Cuvee Reserve Speciale Rose ,"₦3,900.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/wines/BandG/bg-cuvee-450x450.gif,https://www.cellarcentral.ng/wines?product_id=704,wine
B&G Reserve Chardonnay ,"₦5,200.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/wines/BandG/BG%20Chardonnay-450x450.png,https://www.cellarcentral.ng/wines/b-and-g-reserve-chardonnay,wine
Boekenhoutskloof Semillon White ,"₦13,000.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/wines/17421_boekenhoutskloof_semillon__2014_1_1-450x450.jpg,https://www.cellarcentral.ng/wines?product_id=563,wine
Cheval Des Andes ,"₦56,100.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/wines/Cheval-des-Andes-2008.AR-BL-0251-08a-450x450.jpg,https://www.cellarcentral.ng/wines?product_id=495,wine
Clarendelle Bordeaux Rose ,"₦8,200.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/wines/clarendelle-rose-450x450.png,https://www.cellarcentral.ng/wines/clarendelle-rose,wine
Clarendelle Amber Wine ,"₦15,600.00",50cl,https://www.cellarcentral.ng/image/cache/catalog/wines/CLARENDELLE/clarendelle-amberwine2015-450x450.jpg,https://www.cellarcentral.ng/wines?product_id=607,wine
Clarendelle Bordeaux Blanc (White) ,"₦4,100.00",37.5CL,https://www.cellarcentral.ng/image/cache/catalog/wines/clarendelle-white-half-bottle-450x450.png,https://www.cellarcentral.ng/wines?product_id=703,wine
Clarendelle Bordeaux Blanc (White) ,"₦8,800.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/wines/clarendelle-white-450x450.png,https://www.cellarcentral.ng/wines?product_id=557,wine
Clarendelle Bordeaux Rouge (Red) ,"₦8,700.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/wines/clarendelle-red-450x450.png,https://www.cellarcentral.ng/wines?product_id=556,wine
Clarendelle Medoc ,"₦9,240.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/wines/CLARENDELLE/Clarendelle%20Medoc-450x450.png,https://www.cellarcentral.ng/wines?product_id=923,wine
Clarendelle Saint Emilion ,"₦10,300.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/wines/clarendelle-st-emilion-red-450x450.png,https://www.cellarcentral.ng/wines?product_id=558,wine
Cloudy Bay Sauvignon Blanc ,"₦20,100.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Champagne/Cloudy%20bay-450x450.jpg,https://www.cellarcentral.ng/wines?product_id=518,wine
Conti Buneis Moscato D'Asti ,"₦4,900.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Sparkling%20Wines/conti%20buneis%20moscato%20dasti-450x450.jpg,https://www.cellarcentral.ng/wines?product_id=785,wine
Copenhagen Sparkling Tea Lysrod ,"₦15,000.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Sparkling%20Tea/Copenhagen%20Sparkling%20Tea%20lyserod-450x450.png,https://www.cellarcentral.ng/wines?product_id=926,wine
Fortant Cabernet Sauvignon ,"₦3,000.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/wines/Fortant_Cabernet_Sauvignon_tx_GB_-_Crooped_and_NV_175_687-450x450.png,https://www.cellarcentral.ng/wines?product_id=591,wine
Fortant Sauvignon Blanc ,"₦3,000.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/wines/Fortant%20Sauv%20blanc-450x450.jpg,https://www.cellarcentral.ng/wines?product_id=592,wine
Gerard Bertrand 6 Sens Blanc ,"₦4,900.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/wines/6sens%20white-450x450.png,https://www.cellarcentral.ng/wines?product_id=600,wine
Gerard Bertrand 6 Sens Rouge ,"₦3,800.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/wines/6sens-450x450.png,https://www.cellarcentral.ng/wines?product_id=599,wine
